,playerid,injury_start_date,injury_end_date,days_injured
349,476704,2009-08-08T00:00:00,2009-09-08T00:00:00,31
350,150011,2009-08-10T00:00:00,2009-09-07T00:00:00,28
351,425487,2009-08-11T00:00:00,2009-09-03T00:00:00,23
352,457425,2009-08-12T00:00:00,2009-11-17T00:00:00,97
353,449079,2009-08-12T00:00:00,2009-09-01T00:00:00,20
354,110383,2009-08-12T00:00:00,2009-09-01T00:00:00,20
355,425531,2009-08-13T00:00:00,2009-11-20T00:00:00,99
356,134181,2009-08-13T00:00:00,2009-09-01T00:00:00,19
357,443558,2009-08-14T00:00:00,2009-08-20T00:00:00,6
358,460051,2009-08-14T00:00:00,2009-09-01T00:00:00,18
359,457454,2009-08-15T00:00:00,2009-09-02T00:00:00,18
360,448857,2009-08-15T00:00:00,2009-11-17T00:00:00,94
361,431151,2009-08-16T00:00:00,2009-09-01T00:00:00,16
362,434661,2009-08-17T00:00:00,2009-09-04T00:00:00,18
363,434538,2009-08-18T00:00:00,2009-09-09T00:00:00,22
364,276547,2009-08-18T00:00:00,2009-10-07T00:00:00,50
365,407397,2009-08-18T00:00:00,2009-12-16T00:00:00,120
366,115399,2009-08-18T00:00:00,2009-11-05T00:00:00,79
367,133321,2009-08-18T00:00:00,2009-11-06T00:00:00,80
368,460067,2009-08-19T00:00:00,2009-09-04T00:00:00,16
369,115216,2009-08-19T00:00:00,2009-09-01T00:00:00,13
370,430838,2009-08-19T00:00:00,2009-09-22T00:00:00,34
371,493133,2009-08-19T00:00:00,2009-09-06T00:00:00,18
372,456501,2009-08-20T00:00:00,2009-08-31T00:00:00,11
373,425853,2009-08-21T00:00:00,2009-09-02T00:00:00,12
374,400125,2009-08-21T00:00:00,2009-09-04T00:00:00,14
375,346798,2009-08-22T00:00:00,2009-09-07T00:00:00,16
376,346871,2009-08-22T00:00:00,2009-09-25T00:00:00,34
377,425785,2009-08-23T00:00:00,2009-09-16T00:00:00,24
378,407791,2009-08-23T00:00:00,2009-09-08T00:00:00,16
379,421685,2009-08-23T00:00:00,2009-10-14T00:00:00,52
380,447736,2009-08-24T00:00:00,2009-09-30T00:00:00,37
381,429665,2009-08-24T00:00:00,2009-11-01T00:00:00,69
382,452672,2009-08-24T00:00:00,2009-09-09T00:00:00,16
383,408108,2009-08-25T00:00:00,2009-09-07T00:00:00,13
384,116662,2009-08-25T00:00:00,2009-09-08T00:00:00,14
385,451594,2009-08-25T00:00:00,2009-09-09T00:00:00,15
386,276371,2009-08-25T00:00:00,2009-10-14T00:00:00,50
387,424144,2009-08-26T00:00:00,2009-11-12T00:00:00,78
388,276376,2009-08-26T00:00:00,2009-09-03T00:00:00,8
389,430606,2009-08-26T00:00:00,2009-09-17T00:00:00,22
390,444371,2009-08-26T00:00:00,2009-09-09T00:00:00,14
391,464244,2009-08-28T00:00:00,2009-10-13T00:00:00,46
392,460579,2009-08-28T00:00:00,2009-10-13T00:00:00,46
393,430965,2009-08-29T00:00:00,2009-10-16T00:00:00,48
394,150317,2009-08-29T00:00:00,2009-09-08T00:00:00,10
395,452035,2009-08-29T00:00:00,2009-10-13T00:00:00,45
396,137140,2009-08-29T00:00:00,2009-09-30T00:00:00,32
397,150407,2009-08-30T00:00:00,2009-09-14T00:00:00,15
398,425556,2009-08-31T00:00:00,2009-09-15T00:00:00,15
399,150289,2009-09-07T00:00:00,2009-11-19T00:00:00,73
400,430945,2009-09-08T00:00:00,2009-11-06T00:00:00,59
401,429713,2009-09-11T00:00:00,2009-10-14T00:00:00,33
402,150093,2009-09-14T00:00:00,2009-10-14T00:00:00,30
403,501925,2009-09-14T00:00:00,2009-10-14T00:00:00,30
404,457461,2009-09-15T00:00:00,2009-11-20T00:00:00,66
405,442707,2009-09-15T00:00:00,2009-11-06T00:00:00,52
406,277405,2009-09-16T00:00:00,2009-11-03T00:00:00,48
407,501874,2009-09-17T00:00:00,2009-10-13T00:00:00,26
408,476570,2009-09-18T00:00:00,2009-11-05T00:00:00,48
409,435520,2009-09-18T00:00:00,2009-11-08T00:00:00,51
410,460099,2009-09-18T00:00:00,2009-10-13T00:00:00,25
411,115229,2009-09-18T00:00:00,2009-11-16T00:00:00,59
412,547749,2009-09-21T00:00:00,2009-11-13T00:00:00,53
413,136600,2009-09-23T00:00:00,2009-11-06T00:00:00,44
414,400061,2009-09-24T00:00:00,2009-10-13T00:00:00,19
415,488686,2009-09-29T00:00:00,2009-11-13T00:00:00,45
